1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3900000069B71741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Fri Apr 10 17:19:01 PDT 2020
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Mon Apr 26 23:19:01 PDT 2021
Total Mission Samples:  13246
Total Device Samples:  19750
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
4/26/21, 11:19:01 PM,C,5.622
4/27/21, 12:19:01 AM,C,6.124
4/27/21, 1:19:01 AM,C,7.128
4/27/21, 2:19:01 AM,C,7.128
4/27/21, 3:19:01 AM,C,5.622
4/27/21, 4:19:01 AM,C,5.12
4/27/21, 5:19:01 AM,C,4.618
4/27/21, 6:19:01 AM,C,4.116
4/27/21, 7:19:01 AM,C,5.12
4/27/21, 8:19:01 AM,C,15.151
4/27/21, 9:19:01 AM,C,20.66
4/27/21, 10:19:01 AM,C,21.16
4/27/21, 11:19:01 AM,C,23.662
4/27/21, 12:19:01 PM,C,24.662
4/27/21, 1:19:01 PM,C,24.662
4/27/21, 2:19:01 PM,C,27.162
4/27/21, 3:19:01 PM,C,26.662
4/27/21, 4:19:01 PM,C,22.161
4/27/21, 5:19:01 PM,C,19.158
4/27/21, 6:19:01 PM,C,17.155
4/27/21, 7:19:01 PM,C,16.654
4/27/21, 8:19:01 PM,C,15.652
4/27/21, 9:19:01 PM,C,14.65
4/27/21, 10:19:01 PM,C,16.153
4/27/21, 11:19:01 PM,C,15.151
4/28/21, 12:19:01 AM,C,15.151
4/28/21, 1:19:01 AM,C,13.648
4/28/21, 2:19:01 AM,C,12.645
4/28/21, 3:19:01 AM,C,13.147
4/28/21, 4:19:01 AM,C,17.656
4/28/21, 5:19:01 AM,C,16.654
4/28/21, 6:19:01 AM,C,15.652
4/28/21, 7:19:01 AM,C,16.153
4/28/21, 8:19:01 AM,C,27.662
4/28/21, 9:19:01 AM,C,28.661
4/28/21, 10:19:01 AM,C,32.657
4/28/21, 11:19:01 AM,C,32.657
4/28/21, 12:19:01 PM,C,34.154
4/28/21, 1:19:01 PM,C,33.156
4/28/21, 2:19:01 PM,C,35.652
4/28/21, 3:19:01 PM,C,35.153
4/28/21, 4:19:01 PM,C,30.659
4/28/21, 5:19:01 PM,C,27.162
4/28/21, 6:19:01 PM,C,24.662
4/28/21, 7:19:01 PM,C,24.162
4/28/21, 8:19:01 PM,C,20.66
4/28/21, 9:19:01 PM,C,22.161
4/28/21, 10:19:01 PM,C,19.659
4/28/21, 11:19:01 PM,C,21.661
4/29/21, 12:19:01 AM,C,16.654
4/29/21, 1:19:01 AM,C,19.158
4/29/21, 2:19:01 AM,C,16.153
4/29/21, 3:19:01 AM,C,10.138
4/29/21, 4:19:01 AM,C,11.141
4/29/21, 5:19:01 AM,C,12.144
4/29/21, 6:19:01 AM,C,11.141
4/29/21, 7:19:01 AM,C,14.149
4/29/21, 8:19:01 AM,C,32.158
4/29/21, 9:19:01 AM,C,38.146
4/29/21, 10:19:01 AM,C,41.635
4/29/21, 11:19:01 AM,C,42.134
4/29/21, 12:19:01 PM,C,39.143
4/29/21, 1:19:01 PM,C,40.14
4/29/21, 2:19:01 PM,C,41.137
4/29/21, 3:19:01 PM,C,43.13
4/29/21, 4:19:01 PM,C,36.649
4/29/21, 5:19:01 PM,C,30.659
4/29/21, 6:19:01 PM,C,27.162
4/29/21, 7:19:01 PM,C,23.662
4/29/21, 8:19:01 PM,C,18.657
4/29/21, 9:19:01 PM,C,17.155
4/29/21, 10:19:01 PM,C,16.153
4/29/21, 11:19:01 PM,C,15.151
4/30/21, 12:19:01 AM,C,14.149
4/30/21, 1:19:01 AM,C,14.65
4/30/21, 2:19:01 AM,C,14.65
4/30/21, 3:19:01 AM,C,15.151
4/30/21, 4:19:01 AM,C,15.652
4/30/21, 5:19:01 AM,C,13.648
4/30/21, 6:19:01 AM,C,12.144
4/30/21, 7:19:01 AM,C,14.65
4/30/21, 8:19:01 AM,C,33.655
4/30/21, 9:19:01 AM,C,40.639
4/30/21, 10:19:01 AM,C,42.632
4/30/21, 11:19:01 AM,C,44.625
4/30/21, 12:19:01 PM,C,44.625
4/30/21, 1:19:01 PM,C,44.625
4/30/21, 2:19:01 PM,C,43.628
4/30/21, 3:19:01 PM,C,41.137
4/30/21, 4:19:01 PM,C,37.647
4/30/21, 5:19:01 PM,C,31.159
4/30/21, 6:19:01 PM,C,28.161
4/30/21, 7:19:01 PM,C,25.662
4/30/21, 8:19:01 PM,C,20.66
4/30/21, 9:19:01 PM,C,18.157
4/30/21, 10:19:01 PM,C,15.652
4/30/21, 11:19:01 PM,C,14.65
5/1/21, 12:19:01 AM,C,16.153
5/1/21, 1:19:01 AM,C,13.147
5/1/21, 2:19:01 AM,C,14.149
5/1/21, 3:19:01 AM,C,14.149
5/1/21, 4:19:01 AM,C,13.147
5/1/21, 5:19:01 AM,C,12.144
5/1/21, 6:19:01 AM,C,11.141
5/1/21, 7:19:01 AM,C,13.648
5/1/21, 8:19:01 AM,C,25.662
5/1/21, 9:19:01 AM,C,37.148
5/1/21, 10:19:01 AM,C,36.15
5/1/21, 11:19:01 AM,C,36.649
5/1/21, 12:19:01 PM,C,37.647
5/1/21, 1:19:01 PM,C,38.146
5/1/21, 2:19:01 PM,C,35.652
5/1/21, 3:19:01 PM,C,32.657
5/1/21, 4:19:01 PM,C,29.66
5/1/21, 5:19:01 PM,C,25.162
5/1/21, 6:19:01 PM,C,20.66
5/1/21, 7:19:01 PM,C,18.657
5/1/21, 8:19:01 PM,C,15.652
5/1/21, 9:19:01 PM,C,12.144
5/1/21, 10:19:01 PM,C,11.643
5/1/21, 11:19:01 PM,C,10.64
5/2/21, 12:19:01 AM,C,9.636
5/2/21, 1:19:01 AM,C,8.633
5/2/21, 2:19:01 AM,C,8.633
5/2/21, 3:19:01 AM,C,7.63
5/2/21, 4:19:01 AM,C,7.128
5/2/21, 5:19:01 AM,C,7.63
5/2/21, 6:19:01 AM,C,7.128
5/2/21, 7:19:01 AM,C,10.64
5/2/21, 8:19:01 AM,C,24.162
5/2/21, 9:19:01 AM,C,31.159
5/2/21, 10:19:01 AM,C,32.657
5/2/21, 11:19:01 AM,C,32.657
5/2/21, 12:19:01 PM,C,34.654
5/2/21, 1:19:01 PM,C,33.156
5/2/21, 2:19:01 PM,C,33.156
5/2/21, 3:19:01 PM,C,30.16
5/2/21, 4:19:01 PM,C,27.162
5/2/21, 5:19:01 PM,C,22.161
5/2/21, 6:19:01 PM,C,19.158
5/2/21, 7:19:01 PM,C,16.654
5/2/21, 8:19:01 PM,C,14.149
5/2/21, 9:19:01 PM,C,12.645
5/2/21, 10:19:01 PM,C,11.643
5/2/21, 11:19:01 PM,C,12.144
5/3/21, 12:19:01 AM,C,12.645
5/3/21, 1:19:01 AM,C,11.643
5/3/21, 2:19:01 AM,C,11.141
5/3/21, 3:19:01 AM,C,10.138
5/3/21, 4:19:01 AM,C,9.636
5/3/21, 5:19:01 AM,C,9.135
5/3/21, 6:19:01 AM,C,8.633
5/3/21, 7:19:01 AM,C,10.138
5/3/21, 8:19:01 AM,C,29.161
5/3/21, 9:19:01 AM,C,33.156
5/3/21, 10:19:01 AM,C,36.649
5/3/21, 11:19:01 AM,C,38.644
5/3/21, 12:19:01 PM,C,40.639
5/3/21, 1:19:01 PM,C,40.14
5/3/21, 2:19:01 PM,C,41.635
5/3/21, 3:19:01 PM,C,41.137
5/3/21, 4:19:01 PM,C,34.654
5/3/21, 5:19:01 PM,C,28.161
5/3/21, 6:19:01 PM,C,26.662
5/3/21, 7:19:01 PM,C,22.661
5/3/21, 8:19:01 PM,C,18.657
5/3/21, 9:19:01 PM,C,17.155
5/3/21, 10:19:01 PM,C,14.149
5/3/21, 11:19:01 PM,C,15.151
5/4/21, 12:19:01 AM,C,13.147
5/4/21, 1:19:01 AM,C,10.64
5/4/21, 2:19:01 AM,C,10.138
5/4/21, 3:19:01 AM,C,9.636
5/4/21, 4:19:01 AM,C,9.135
5/4/21, 5:19:01 AM,C,8.633
5/4/21, 6:19:01 AM,C,7.128
5/4/21, 7:19:01 AM,C,8.131
5/4/21, 8:19:01 AM,C,29.66
5/4/21, 9:19:01 AM,C,38.644
5/4/21, 10:19:01 AM,C,39.143
5/4/21, 11:19:01 AM,C,42.632
5/4/21, 12:19:01 PM,C,45.123
5/4/21, 1:19:01 PM,C,43.13
5/4/21, 2:19:01 PM,C,42.632
5/4/21, 3:19:01 PM,C,41.635
5/4/21, 4:19:01 PM,C,36.649
5/4/21, 5:19:01 PM,C,30.16
5/4/21, 6:19:01 PM,C,26.162
5/4/21, 7:19:01 PM,C,23.662
5/4/21, 8:19:01 PM,C,19.659
5/4/21, 9:19:01 PM,C,15.652
5/4/21, 10:19:01 PM,C,14.65
5/4/21, 11:19:01 PM,C,14.149
5/5/21, 12:19:01 AM,C,13.648
5/5/21, 1:19:01 AM,C,13.147
5/5/21, 2:19:01 AM,C,12.645
5/5/21, 3:19:01 AM,C,12.144
5/5/21, 4:19:01 AM,C,11.643
5/5/21, 5:19:01 AM,C,11.141
5/5/21, 6:19:01 AM,C,9.636
5/5/21, 7:19:01 AM,C,12.144
5/5/21, 8:19:01 AM,C,31.159
5/5/21, 9:19:01 AM,C,39.143
5/5/21, 10:19:01 AM,C,42.632
5/5/21, 11:19:01 AM,C,46.118
5/5/21, 12:19:01 PM,C,44.625
5/5/21, 1:19:01 PM,C,43.628
5/5/21, 2:19:01 PM,C,43.628
5/5/21, 3:19:01 PM,C,40.639
5/5/21, 4:19:01 PM,C,37.148
5/5/21, 5:19:01 PM,C,31.159
5/5/21, 6:19:01 PM,C,27.162
5/5/21, 7:19:01 PM,C,23.662
5/5/21, 8:19:01 PM,C,20.159
5/5/21, 9:19:01 PM,C,15.652
5/5/21, 10:19:01 PM,C,14.65
5/5/21, 11:19:01 PM,C,12.645
5/6/21, 12:19:01 AM,C,11.643
5/6/21, 1:19:01 AM,C,11.141
5/6/21, 2:19:01 AM,C,11.141
5/6/21, 3:19:01 AM,C,12.144
5/6/21, 4:19:01 AM,C,11.643
5/6/21, 5:19:01 AM,C,9.636
5/6/21, 6:19:01 AM,C,7.63
5/6/21, 7:19:01 AM,C,9.636
5/6/21, 8:19:01 AM,C,27.162
5/6/21, 9:19:01 AM,C,32.657
5/6/21, 10:19:01 AM,C,34.654
5/6/21, 11:19:01 AM,C,35.153
5/6/21, 12:19:01 PM,C,37.148
5/6/21, 1:19:01 PM,C,38.146
5/6/21, 2:19:01 PM,C,35.652
5/6/21, 3:19:01 PM,C,34.654
5/6/21, 4:19:01 PM,C,32.158
5/6/21, 5:19:01 PM,C,23.662
5/6/21, 6:19:01 PM,C,20.159
5/6/21, 7:19:01 PM,C,17.656
5/6/21, 8:19:01 PM,C,15.151
5/6/21, 9:19:01 PM,C,13.147
5/6/21, 10:19:01 PM,C,11.643
5/6/21, 11:19:01 PM,C,10.64
5/7/21, 12:19:01 AM,C,10.138
5/7/21, 1:19:01 AM,C,10.64
5/7/21, 2:19:01 AM,C,12.144
5/7/21, 3:19:01 AM,C,12.144
5/7/21, 4:19:01 AM,C,12.645
5/7/21, 5:19:01 AM,C,12.144
5/7/21, 6:19:01 AM,C,12.144
5/7/21, 7:19:01 AM,C,12.645
5/7/21, 8:19:01 AM,C,14.65
5/7/21, 9:19:01 AM,C,17.656
5/7/21, 10:19:01 AM,C,25.162
5/7/21, 11:19:01 AM,C,36.649
5/7/21, 12:19:01 PM,C,35.153
5/7/21, 1:19:01 PM,C,34.654
5/7/21, 2:19:01 PM,C,34.154
5/7/21, 3:19:01 PM,C,35.652
5/7/21, 4:19:01 PM,C,32.657
5/7/21, 5:19:01 PM,C,23.662
5/7/21, 6:19:01 PM,C,19.659
5/7/21, 7:19:01 PM,C,17.656
5/7/21, 8:19:01 PM,C,14.65
5/7/21, 9:19:01 PM,C,12.645
5/7/21, 10:19:01 PM,C,11.141
5/7/21, 11:19:01 PM,C,10.64
5/8/21, 12:19:01 AM,C,9.135
5/8/21, 1:19:01 AM,C,9.135
5/8/21, 2:19:01 AM,C,7.63
5/8/21, 3:19:01 AM,C,8.131
5/8/21, 4:19:01 AM,C,8.131
5/8/21, 5:19:01 AM,C,7.128
5/8/21, 6:19:01 AM,C,6.626
5/8/21, 7:19:01 AM,C,9.135
5/8/21, 8:19:01 AM,C,25.162
5/8/21, 9:19:01 AM,C,29.66
5/8/21, 10:19:01 AM,C,32.657
5/8/21, 11:19:01 AM,C,34.654
5/8/21, 12:19:01 PM,C,36.15
5/8/21, 1:19:01 PM,C,37.647
5/8/21, 2:19:01 PM,C,37.647
5/8/21, 3:19:01 PM,C,34.154
5/8/21, 4:19:01 PM,C,34.154
5/8/21, 5:19:01 PM,C,25.662
5/8/21, 6:19:01 PM,C,21.661
5/8/21, 7:19:01 PM,C,19.158
5/8/21, 8:19:01 PM,C,16.153
5/8/21, 9:19:01 PM,C,14.149
5/8/21, 10:19:01 PM,C,11.643
5/8/21, 11:19:01 PM,C,10.138
5/9/21, 12:19:01 AM,C,9.636
5/9/21, 1:19:01 AM,C,9.135
5/9/21, 2:19:01 AM,C,8.131
5/9/21, 3:19:01 AM,C,7.63
5/9/21, 4:19:01 AM,C,7.128
5/9/21, 5:19:01 AM,C,7.128
5/9/21, 6:19:01 AM,C,6.124
5/9/21, 7:19:01 AM,C,9.135
5/9/21, 8:19:01 AM,C,26.162
5/9/21, 9:19:01 AM,C,31.658
5/9/21, 10:19:01 AM,C,34.154
5/9/21, 11:19:01 AM,C,35.652
5/9/21, 12:19:01 PM,C,34.654
5/9/21, 1:19:01 PM,C,34.654
5/9/21, 2:19:01 PM,C,33.655
5/9/21, 3:19:01 PM,C,34.654
5/9/21, 4:19:01 PM,C,33.655
5/9/21, 5:19:01 PM,C,25.162
5/9/21, 6:19:01 PM,C,20.66
5/9/21, 7:19:01 PM,C,18.157
5/9/21, 8:19:01 PM,C,15.652
5/9/21, 9:19:01 PM,C,13.648
5/9/21, 10:19:01 PM,C,12.144
5/9/21, 11:19:01 PM,C,11.141
5/10/21, 12:19:01 AM,C,10.138
5/10/21, 1:19:01 AM,C,10.64
5/10/21, 2:19:01 AM,C,13.147
5/10/21, 3:19:01 AM,C,13.147
5/10/21, 4:19:01 AM,C,13.648
5/10/21, 5:19:01 AM,C,13.648
5/10/21, 6:19:01 AM,C,13.648
5/10/21, 7:19:01 AM,C,15.652
5/10/21, 8:19:01 AM,C,20.159
5/10/21, 9:19:01 AM,C,32.158
5/10/21, 10:19:01 AM,C,38.644
5/10/21, 11:19:01 AM,C,36.15
5/10/21, 12:19:01 PM,C,36.15
5/10/21, 1:19:01 PM,C,38.146
5/10/21, 2:19:01 PM,C,36.649
5/10/21, 3:19:01 PM,C,33.655
5/10/21, 4:19:01 PM,C,31.658
5/10/21, 5:19:01 PM,C,23.662
5/10/21, 6:19:01 PM,C,19.158
5/10/21, 7:19:01 PM,C,17.656
5/10/21, 8:19:01 PM,C,15.151
5/10/21, 9:19:01 PM,C,12.645
5/10/21, 10:19:01 PM,C,11.643
5/10/21, 11:19:01 PM,C,11.141
5/11/21, 12:19:01 AM,C,10.138
5/11/21, 1:19:01 AM,C,9.135
5/11/21, 2:19:01 AM,C,8.633
5/11/21, 3:19:01 AM,C,9.135
5/11/21, 4:19:01 AM,C,8.131
5/11/21, 5:19:01 AM,C,8.633
5/11/21, 6:19:01 AM,C,9.135
5/11/21, 7:19:01 AM,C,11.141
5/11/21, 8:19:01 AM,C,25.662
5/11/21, 9:19:01 AM,C,30.659
5/11/21, 10:19:01 AM,C,34.154
5/11/21, 11:19:01 AM,C,35.153
5/11/21, 12:19:01 PM,C,35.153
5/11/21, 1:19:01 PM,C,38.146
5/11/21, 2:19:01 PM,C,38.146
5/11/21, 3:19:01 PM,C,38.146
5/11/21, 4:19:01 PM,C,36.15
5/11/21, 5:19:01 PM,C,29.161
5/11/21, 6:19:01 PM,C,23.162
5/11/21, 7:19:01 PM,C,20.66
5/11/21, 8:19:01 PM,C,17.155
5/11/21, 9:19:01 PM,C,14.65
5/11/21, 10:19:01 PM,C,13.147
5/11/21, 11:19:01 PM,C,12.144
5/12/21, 12:19:01 AM,C,11.141
5/12/21, 1:19:01 AM,C,10.64
5/12/21, 2:19:01 AM,C,10.138
5/12/21, 3:19:01 AM,C,10.64
5/12/21, 4:19:01 AM,C,11.643
5/12/21, 5:19:01 AM,C,11.643
5/12/21, 6:19:01 AM,C,11.141
5/12/21, 7:19:01 AM,C,13.147
5/12/21, 8:19:01 AM,C,25.162
5/12/21, 9:19:01 AM,C,34.154
5/12/21, 10:19:01 AM,C,37.148
5/12/21, 11:19:01 AM,C,36.15
5/12/21, 12:19:01 PM,C,37.647
5/12/21, 1:19:01 PM,C,40.14
5/12/21, 2:19:01 PM,C,41.635
5/12/21, 3:19:01 PM,C,40.639
5/12/21, 4:19:01 PM,C,38.146
5/12/21, 5:19:01 PM,C,29.161
5/12/21, 6:19:01 PM,C,22.661
5/12/21, 7:19:01 PM,C,20.159
5/12/21, 8:19:01 PM,C,16.153
5/12/21, 9:19:01 PM,C,13.648
5/12/21, 10:19:01 PM,C,12.645
5/12/21, 11:19:01 PM,C,11.643
5/13/21, 12:19:01 AM,C,12.144
5/13/21, 1:19:01 AM,C,13.147
5/13/21, 2:19:01 AM,C,13.147
5/13/21, 3:19:01 AM,C,13.147
5/13/21, 4:19:01 AM,C,12.144
5/13/21, 5:19:01 AM,C,11.141
5/13/21, 6:19:01 AM,C,11.141
5/13/21, 7:19:01 AM,C,13.147
5/13/21, 8:19:01 AM,C,27.162
5/13/21, 9:19:01 AM,C,30.659
5/13/21, 10:19:01 AM,C,35.652
5/13/21, 11:19:01 AM,C,35.652
5/13/21, 12:19:01 PM,C,36.649
5/13/21, 1:19:01 PM,C,38.146
5/13/21, 2:19:01 PM,C,37.647
5/13/21, 3:19:01 PM,C,37.148
5/13/21, 4:19:01 PM,C,35.153
5/13/21, 5:19:01 PM,C,28.661
5/13/21, 6:19:01 PM,C,22.661
5/13/21, 7:19:01 PM,C,19.158
5/13/21, 8:19:01 PM,C,16.153
5/13/21, 9:19:01 PM,C,13.648
5/13/21, 10:19:01 PM,C,12.144
5/13/21, 11:19:01 PM,C,11.643
5/14/21, 12:19:01 AM,C,11.141
5/14/21, 1:19:01 AM,C,12.645
5/14/21, 2:19:01 AM,C,13.147
5/14/21, 3:19:01 AM,C,13.147
5/14/21, 4:19:01 AM,C,12.645
5/14/21, 5:19:01 AM,C,12.645
5/14/21, 6:19:01 AM,C,12.144
5/14/21, 7:19:01 AM,C,13.147
5/14/21, 8:19:01 AM,C,15.652
5/14/21, 9:19:01 AM,C,18.657
5/14/21, 10:19:01 AM,C,30.659
5/14/21, 11:19:01 AM,C,36.15
5/14/21, 12:19:01 PM,C,37.647
5/14/21, 1:19:01 PM,C,36.649
5/14/21, 2:19:01 PM,C,38.644
5/14/21, 3:19:01 PM,C,35.652
5/14/21, 4:19:01 PM,C,33.655
5/14/21, 5:19:01 PM,C,27.662
5/14/21, 6:19:01 PM,C,21.16
5/14/21, 7:19:01 PM,C,17.155
5/14/21, 8:19:01 PM,C,14.149
5/14/21, 9:19:01 PM,C,12.645
5/14/21, 10:19:01 PM,C,12.144
5/14/21, 11:19:01 PM,C,10.138
5/15/21, 12:19:01 AM,C,9.636
5/15/21, 1:19:01 AM,C,12.144
5/15/21, 2:19:01 AM,C,12.645
5/15/21, 3:19:01 AM,C,13.147
5/15/21, 4:19:01 AM,C,13.147
5/15/21, 5:19:01 AM,C,13.147
5/15/21, 6:19:01 AM,C,13.147
5/15/21, 7:19:01 AM,C,13.648
5/15/21, 8:19:01 AM,C,15.151
5/15/21, 9:19:01 AM,C,16.654
5/15/21, 10:19:01 AM,C,20.159
5/15/21, 11:19:01 AM,C,22.161
5/15/21, 12:19:01 PM,C,30.16
5/15/21, 1:19:01 PM,C,34.654
5/15/21, 2:19:01 PM,C,32.657
5/15/21, 3:19:01 PM,C,31.159
5/15/21, 4:19:01 PM,C,30.16
5/15/21, 5:19:01 PM,C,23.162
5/15/21, 6:19:01 PM,C,18.157
5/15/21, 7:19:01 PM,C,16.654
5/15/21, 8:19:01 PM,C,14.65
5/15/21, 9:19:01 PM,C,14.65
5/15/21, 10:19:01 PM,C,14.65
5/15/21, 11:19:01 PM,C,13.648
5/16/21, 12:19:01 AM,C,13.147
5/16/21, 1:19:01 AM,C,12.645
5/16/21, 2:19:01 AM,C,12.645
5/16/21, 3:19:01 AM,C,12.645
5/16/21, 4:19:01 AM,C,12.645
5/16/21, 5:19:01 AM,C,12.645
5/16/21, 6:19:01 AM,C,12.645
5/16/21, 7:19:01 AM,C,12.645
5/16/21, 8:19:01 AM,C,14.149
5/16/21, 9:19:01 AM,C,15.652
5/16/21, 10:19:01 AM,C,19.158
5/16/21, 11:19:01 AM,C,21.16
5/16/21, 12:19:01 PM,C,25.662
5/16/21, 1:19:01 PM,C,21.661
5/16/21, 2:19:01 PM,C,20.159
5/16/21, 3:19:01 PM,C,22.661
5/16/21, 4:19:01 PM,C,22.661
5/16/21, 5:19:01 PM,C,21.661
5/16/21, 6:19:01 PM,C,19.158
5/16/21, 7:19:01 PM,C,17.155
5/16/21, 8:19:01 PM,C,15.151
5/16/21, 9:19:01 PM,C,14.149
5/16/21, 10:19:01 PM,C,13.648
5/16/21, 11:19:01 PM,C,13.147
5/17/21, 12:19:01 AM,C,13.147
5/17/21, 1:19:01 AM,C,13.147
5/17/21, 2:19:01 AM,C,12.645
5/17/21, 3:19:01 AM,C,12.645
5/17/21, 4:19:01 AM,C,12.645
5/17/21, 5:19:01 AM,C,12.645
5/17/21, 6:19:01 AM,C,12.645
5/17/21, 7:19:01 AM,C,13.648
5/17/21, 8:19:01 AM,C,18.157
5/17/21, 9:19:01 AM,C,21.16
5/17/21, 10:19:01 AM,C,36.649
5/17/21, 11:19:01 AM,C,33.655
5/17/21, 12:19:01 PM,C,34.654
5/17/21, 1:19:01 PM,C,33.655
5/17/21, 2:19:01 PM,C,33.655
5/17/21, 3:19:01 PM,C,35.153
5/17/21, 4:19:01 PM,C,30.659
5/17/21, 5:19:01 PM,C,24.162
5/17/21, 6:19:01 PM,C,20.159
5/17/21, 7:19:01 PM,C,18.157
5/17/21, 8:19:01 PM,C,15.652
5/17/21, 9:19:01 PM,C,13.147
5/17/21, 10:19:01 PM,C,12.144
5/17/21, 11:19:01 PM,C,10.64
5/18/21, 12:19:01 AM,C,9.636
5/18/21, 1:19:01 AM,C,9.135
5/18/21, 2:19:01 AM,C,8.633
5/18/21, 3:19:01 AM,C,7.63
5/18/21, 4:19:01 AM,C,7.128
5/18/21, 5:19:01 AM,C,7.63
5/18/21, 6:19:01 AM,C,6.626
5/18/21, 7:19:01 AM,C,11.141
5/18/21, 8:19:01 AM,C,15.652
5/18/21, 9:19:01 AM,C,27.162
5/18/21, 10:19:01 AM,C,35.153
5/18/21, 11:19:01 AM,C,37.647
5/18/21, 12:19:01 PM,C,38.644
5/18/21, 1:19:01 PM,C,40.14
5/18/21, 2:19:01 PM,C,38.644
5/18/21, 3:19:01 PM,C,40.639
5/18/21, 4:19:01 PM,C,38.146
5/18/21, 5:19:01 PM,C,29.161
5/18/21, 6:19:01 PM,C,24.162
5/18/21, 7:19:01 PM,C,22.161
5/18/21, 8:19:01 PM,C,18.657
5/18/21, 9:19:01 PM,C,14.65
5/18/21, 10:19:01 PM,C,13.648
5/18/21, 11:19:01 PM,C,11.643
5/19/21, 12:19:01 AM,C,11.141
5/19/21, 1:19:01 AM,C,10.64
5/19/21, 2:19:01 AM,C,9.636
5/19/21, 3:19:01 AM,C,9.135
5/19/21, 4:19:01 AM,C,9.135
5/19/21, 5:19:01 AM,C,8.131
5/19/21, 6:19:01 AM,C,8.633
5/19/21, 7:19:01 AM,C,13.147
5/19/21, 8:19:01 AM,C,29.161
5/19/21, 9:19:01 AM,C,36.15
5/19/21, 10:19:01 AM,C,36.649
5/19/21, 11:19:01 AM,C,37.148
5/19/21, 12:19:01 PM,C,35.153
5/19/21, 1:19:01 PM,C,37.647
5/19/21, 2:19:01 PM,C,36.15
5/19/21, 3:19:01 PM,C,35.153
5/19/21, 4:19:01 PM,C,33.156
5/19/21, 5:19:01 PM,C,25.662
5/19/21, 6:19:01 PM,C,21.16
5/19/21, 7:19:01 PM,C,19.158
5/19/21, 8:19:01 PM,C,16.654
5/19/21, 9:19:01 PM,C,14.149
5/19/21, 10:19:01 PM,C,12.144
5/19/21, 11:19:01 PM,C,10.64
5/20/21, 12:19:01 AM,C,10.138
5/20/21, 1:19:01 AM,C,9.636
5/20/21, 2:19:01 AM,C,10.138
5/20/21, 3:19:01 AM,C,8.131
5/20/21, 4:19:01 AM,C,8.131
5/20/21, 5:19:01 AM,C,7.63
5/20/21, 6:19:01 AM,C,7.128
5/20/21, 7:19:01 AM,C,12.144
5/20/21, 8:19:01 AM,C,29.161
5/20/21, 9:19:01 AM,C,36.649
5/20/21, 10:19:01 AM,C,38.146
5/20/21, 11:19:01 AM,C,39.642
5/20/21, 12:19:01 PM,C,41.137
5/20/21, 1:19:01 PM,C,40.639
5/20/21, 2:19:01 PM,C,41.635
5/20/21, 3:19:01 PM,C,36.649
5/20/21, 4:19:01 PM,C,26.662
5/20/21, 5:19:01 PM,C,24.662
5/20/21, 6:19:01 PM,C,19.659
5/20/21, 7:19:01 PM,C,17.155
5/20/21, 8:19:01 PM,C,13.147
5/20/21, 9:19:01 PM,C,10.64
5/20/21, 10:19:01 PM,C,11.643
5/20/21, 11:19:01 PM,C,12.645
5/21/21, 12:19:01 AM,C,11.643
5/21/21, 1:19:01 AM,C,13.147
5/21/21, 2:19:01 AM,C,11.141
5/21/21, 3:19:01 AM,C,7.63
5/21/21, 4:19:01 AM,C,6.626
5/21/21, 5:19:01 AM,C,5.622
5/21/21, 6:19:01 AM,C,4.618
5/21/21, 7:19:01 AM,C,10.64
5/21/21, 8:19:01 AM,C,28.661
5/21/21, 9:19:01 AM,C,26.662
5/21/21, 10:19:01 AM,C,36.649
5/21/21, 11:19:01 AM,C,41.137
5/21/21, 12:19:01 PM,C,26.662
5/21/21, 1:19:01 PM,C,23.162
5/21/21, 2:19:01 PM,C,20.66
5/21/21, 3:19:01 PM,C,13.147
5/21/21, 4:19:01 PM,C,13.648
5/21/21, 5:19:01 PM,C,13.648
5/21/21, 6:19:01 PM,C,11.643
5/21/21, 7:19:01 PM,C,10.64
5/21/21, 8:19:01 PM,C,8.633
5/21/21, 9:19:01 PM,C,8.633
5/21/21, 10:19:01 PM,C,9.135
5/21/21, 11:19:01 PM,C,7.63
5/22/21, 12:19:01 AM,C,8.131
5/22/21, 1:19:01 AM,C,7.128
5/22/21, 2:19:01 AM,C,7.128
5/22/21, 3:19:01 AM,C,6.626
5/22/21, 4:19:01 AM,C,5.622
5/22/21, 5:19:01 AM,C,4.618
5/22/21, 6:19:01 AM,C,5.12
5/22/21, 7:19:01 AM,C,8.633
5/22/21, 8:19:01 AM,C,12.645
5/22/21, 9:19:01 AM,C,23.162
5/22/21, 10:19:01 AM,C,30.659
5/22/21, 11:19:01 AM,C,33.655
5/22/21, 12:19:01 PM,C,34.154
5/22/21, 1:19:01 PM,C,34.154
5/22/21, 2:19:01 PM,C,34.154
5/22/21, 3:19:01 PM,C,33.156
5/22/21, 4:19:01 PM,C,30.16
5/22/21, 5:19:01 PM,C,22.661
5/22/21, 6:19:01 PM,C,17.155
5/22/21, 7:19:01 PM,C,15.151
